frequency,duration,pcid
410747,52666130.0,173
400294,53061590.0,44
395722,75152540.0,209
386385,36618180.0,1536
379375,81217480.0,1416
377201,92328950.0,560
377026,34515910.0,1025
374074,59250280.0,1312
369790,104378750.0,1320
367603,75532450.0,1169
361962,87928630.0,692
359960,46183480.0,13
352480,59893260.0,597
352196,65605300.0,277
350320,73562420.0,108
347069,60879650.0,565
346677,76795370.0,218
346396,67273690.0,1234
339712,75770550.0,1322
337239,54323840.0,1156
336076,63104840.0,1306
334610,40474780.0,161
332820,69598950.0,102
330665,68610910.0,658
328025,61023640.0,1882
321547,44562750.0,429
321038,39567090.0,261
317048,74060260.0,841
312529,49277890.0,197
312255,61590910.0,194
311009,80014150.0,1120
310921,61032160.0,662
308975,58698690.0,1242
304409,86913830.0,649
298838,97392370.0,1348
294394,46433850.0,677
293471,47573020.0,358
293049,56181290.0,524
289790,55589180.0,364
289079,43525210.0,642
288886,62879540.0,589
288115,78703510.0,872
288043,48568680.0,85
286055,51880430.0,1154
284060,52740240.0,332
280626,49987850.0,646
278782,42488640.0,608
278765,68206350.0,1122
277949,59050610.0,1178
276554,52633040.0,1284
275157,60925640.0,162
274192,51249580.0,612
272513,37254320.0,1050
271214,46318990.0,89
269523,46508520.0,1544
266266,46781520.0,291
264334,34095320.0,421
261984,31706680.0,25
257289,34223270.0,800
256771,51043130.0,733
254759,48183370.0,284
253751,45138960.0,870
252349,37477700.0,53
251364,43251590.0,217
249705,45468880.0,7
248584,53105320.0,78
247061,53402360.0,154
246043,38315650.0,329
245969,37117870.0,193
242946,43636410.0,428
240519,45729630.0,730
240406,33123370.0,1048
237891,40610580.0,1162
234428,33988820.0,537
232742,48998540.0,802
232511,46968960.0,1100
231535,35034940.0,785
231207,49681590.0,436
229665,32249670.0,821
228860,31233030.0,664
228366,50343950.0,550
227197,36632610.0,1366
226984,49709770.0,1108
226826,48756280.0,92
225957,37343640.0,774
225310,55253020.0,553
225152,54155600.0,1610
222801,41627320.0,1066
219740,26578600.0,789
217181,39164170.0,705
216915,45650810.0,1402
214269,41500690.0,1304
212805,27232680.0,1030
211100,28267950.0,309
210649,64088880.0,777
209943,46836860.0,424
209784,57646540.0,874
207238,40421070.0,202
206762,44269700.0,722
206425,30277310.0,177
205000,32868320.0,820
203764,24036640.0,49
202204,89352920.0,682
200785,27545670.0,1418
200224,71840710.0,554
199267,35744200.0,868
197578,25109390.0,769
194629,46380610.0,587
193555,29404330.0,224
193413,34791330.0,1232
193117,33735600.0,1097
193015,45155220.0,1350
191799,26826670.0,28
191545,22572310.0,301
189816,28149200.0,1434
186551,34961890.0,1224
186495,33310130.0,452
184231,38527250.0,310
183788,39885940.0,1609
183293,25508130.0,153
181960,21583320.0,41
181943,34015860.0,120
180683,27164010.0,857
179679,45397230.0,1376
175719,24888600.0,1600
173841,52492230.0,618
172566,27185310.0,561
172115,28502430.0,201
172055,31383030.0,1388
171109,31332510.0,204
165732,29505020.0,404
164351,25030490.0,402
164157,28653500.0,862
162444,34624990.0,166
162427,35386190.0,1444
161801,27494340.0,866
161588,32350880.0,859
161376,28850790.0,717
160167,27108970.0,806
159970,25594070.0,408
158165,37033350.0,617
157387,24804010.0,297
157245,36397370.0,1176
156659,30559170.0,484
156283,20215240.0,1041
155505,17963860.0,14
155501,28375010.0,116
155405,24815680.0,306
155044,25821920.0,1626
153657,30228350.0,456
153187,26752520.0,1240
148486,26890330.0,1174
148084,29126740.0,418
147968,19573800.0,11
147900,21788020.0,673
146943,18532030.0,35
146110,27719000.0,590
145077,25034880.0,275
144873,19733180.0,112
144578,19190770.0,1408
144316,30279950.0,1498
142971,42004090.0,652
142280,21175990.0,1036
141834,21970840.0,1426
141078,29521980.0,1222
140281,17243260.0,437
140059,24772500.0,877
139904,19735750.0,45
139131,16640930.0,805
138640,20912320.0,1216
138609,18800530.0,269
138171,25913060.0,1220
137557,20183660.0,689
136936,25635170.0,706
136831,28137930.0,1132
136582,19368230.0,665
135797,14487720.0,386
135677,28190530.0,77
134455,17263110.0,397
133406,27186960.0,1124
133340,23993050.0,849
133095,21930430.0,864
132627,31417740.0,740
131875,26569930.0,1292
131872,19864730.0,614
131556,42569290.0,650
131381,29039340.0,556
130660,29383580.0,620
130522,27042600.0,1864
129930,26436980.0,716
129906,14754220.0,50
129139,28344300.0,688
129094,24080920.0,396
129003,26050420.0,348
128650,21234180.0,75
128631,16419610.0,394
127722,25411590.0,604
126673,18368110.0,448
126633,29457890.0,808
126568,19914620.0,71
126324,26370320.0,1356
125340,25646190.0,1390
123720,15956780.0,321
123218,14050650.0,19
123154,20098560.0,1023
123115,19068800.0,1044
122081,26114310.0,566
121933,33061420.0,680
121383,15001600.0,393
120410,27100790.0,525
119961,24153390.0,1604
119489,29622750.0,714
119330,14330040.0,169
118781,12643630.0,385
118462,13833920.0,56
118034,21190360.0,1172
118015,14502420.0,67
117556,20164480.0,1424
116178,22061970.0,230
115371,19173330.0,1153
114909,13630640.0,259
113414,20553500.0,15
113215,19890310.0,876
112709,21164670.0,886
112587,23084220.0,1188
112091,19109330.0,376
111989,17199970.0,147
111762,22628050.0,372
111352,26419460.0,610
110462,21516190.0,1753
110103,25914180.0,118
109942,18906190.0,1236
109920,22453110.0,653
109316,12615100.0,1046
107851,19667460.0,1233
107696,19798690.0,727
106897,20851430.0,1750
106524,16419870.0,410
106389,11403920.0,417
105752,20711520.0,94
105431,21754080.0,1126
104649,20337570.0,1462
102907,16397270.0,295
102395,16973990.0,1318
102229,15667050.0,281
101479,18917390.0,605
101376,17974630.0,54
101247,14524580.0,844
100561,19838250.0,603
100525,24512090.0,1380
100464,14894300.0,1184
99856,11482920.0,1033
99826,21812560.0,1448
98965,32437830.0,810
98565,21082430.0,1300
98445,10754920.0,515
98062,15475380.0,244
97385,16398530.0,432
97011,16867700.0,1226
96950,12917380.0,401
96545,17248690.0,685
96499,15547390.0,732
95050,17861280.0,1387
94845,17833290.0,606
93945,20049930.0,1866
93494,13290860.0,1324
93030,20567600.0,380
92962,12027260.0,1105
92607,17382020.0,156
91852,18692670.0,904
91679,21041820.0,1606
91662,20990830.0,1546
91646,15981660.0,968
91014,16080300.0,1158
90780,19733980.0,890
90294,18686380.0,1406
90231,12011530.0,1089
90151,15980580.0,932
89998,9782410.0,389
89833,13838370.0,822
89646,16173410.0,1102
89304,9314670.0,1027
89296,13005190.0,801
88463,15031510.0,1432
88361,16300240.0,2046
88352,15136220.0,1754
87621,15310020.0,523
87569,14803410.0,464
87320,17962470.0,843
87006,16946920.0,312
86710,17308810.0,299
86571,25898050.0,170
86408,10217000.0,773
86387,17103500.0,1382
86345,17389960.0,232
86167,14951610.0,949
84900,14042620.0,1450
84592,16178710.0,1270
84237,13015650.0,579
84192,15615530.0,316
83641,14166460.0,1218
83454,13436960.0,255
83368,13422980.0,1746
83301,10687360.0,1289
82734,12831770.0,583
82601,10543920.0,425
82232,15333520.0,873
82021,13215240.0,860
81816,12121240.0,853
81647,12944180.0,438
81600,23025250.0,809
81554,13472540.0,337
